OriginAirportID,DestAirportID,DayOfWeek,delay_events,n,smoothed_delay_prob
10397,13871,5,5,14,0.375
10397,13871,6,6,10,0.5833333333333334
10397,13871,7,4,17,0.2631578947368421
10397,13930,1,19,73,0.26666666666666666
10397,13930,2,16,67,0.2463768115942029
10397,13930,3,33,73,0.4533333333333333
10397,13930,4,23,72,0.32432432432432434
10397,13930,5,28,76,0.3717948717948718
10397,13930,6,5,26,0.21428571428571427
10397,13930,7,11,66,0.17647058823529413
10397,13931,1,2,28,0.1
10397,13931,2,3,31,0.12121212121212122
10397,13931,3,6,25,0.25925925925925924
10397,13931,4,14,41,0.3488372093023256
10397,13931,5,6,32,0.20588235294117646
10397,13931,6,3,18,0.2
10397,13931,7,10,30,0.34375
10397,14027,1,3,25,0.14814814814814814
10397,14027,2,2,34,0.08333333333333333
10397,14027,3,8,43,0.2
10397,14027,4,6,30,0.21875
10397,14027,5,13,38,0.35
10397,14027,6,4,26,0.17857142857142858
10397,14027,7,12,41,0.3023255813953488
10397,14057,1,0,8,0.1
10397,14057,2,1,10,0.16666666666666666
10397,14057,3,2,13,0.2
10397,14057,4,2,7,0.3333333333333333
10397,14057,5,5,14,0.375
10397,14057,6,2,7,0.3333333333333333
10397,14057,7,1,10,0.16666666666666666
10397,14100,1,11,58,0.2
10397,14100,2,14,55,0.2631578947368421
10397,14100,3,16,66,0.25
10397,14100,4,20,62,0.328125
10397,14100,5,10,48,0.22
10397,14100,6,4,35,0.13513513513513514
10397,14100,7,8,54,0.16071428571428573
10397,14107,1,11,38,0.3
10397,14107,2,6,33,0.2
10397,14107,3,9,28,0.3333333333333333
10397,14107,4,5,31,0.18181818181818182
10397,14107,5,9,39,0.24390243902439024
10397,14107,6,1,34,0.05555555555555555
10397,14107,7,6,36,0.18421052631578946
10397,14122,1,6,37,0.1794871794871795
10397,14122,2,4,34,0.1388888888888889
10397,14122,3,3,32,0.11764705882352941
10397,14122,4,8,34,0.25
10397,14122,5,6,37,0.1794871794871795
10397,14122,6,3,28,0.13333333333333333
10397,14122,7,3,30,0.125
10397,14307,1,5,15,0.35294117647058826
10397,14307,2,1,13,0.13333333333333333
10397,14307,3,0,8,0.1
10397,14307,4,1,8,0.2
10397,14307,5,2,9,0.2727272727272727
10397,14307,6,1,10,0.16666666666666666
10397,14307,7,2,5,0.42857142857142855
10397,14492,1,6,44,0.15217391304347827
10397,14492,2,5,49,0.11764705882352941
10397,14492,3,7,49,0.1568627450980392
10397,14492,4,7,51,0.1509433962264151
10397,14492,5,6,38,0.175
10397,14492,6,1,20,0.09090909090909091
10397,14492,7,9,51,0.18867924528301888
10397,14524,1,16,50,0.3269230769230769
10397,14524,2,3,39,0.0975609756097561
10397,14524,3,8,35,0.24324324324324326
10397,14524,4,7,43,0.17777777777777778
10397,14524,5,11,39,0.2926829268292683
10397,14524,6,2,26,0.10714285714285714
10397,14524,7,7,39,0.1951219512195122
10397,14635,1,8,41,0.20930232558139536
10397,14635,2,8,38,0.225
10397,14635,3,8,38,0.225
10397,14635,4,6,34,0.19444444444444445
10397,14635,5,9,45,0.2127659574468085
10397,14635,6,2,27,0.10344827586206896
10397,14635,7,6,25,0.25925925925925924
10397,14679,1,2,20,0.13636363636363635
10397,14679,2,6,22,0.2916666666666667
10397,14679,3,9,18,0.5
10397,14679,4,4,15,0.29411764705882354
10397,14679,5,3,19,0.19047619047619047
10397,14679,6,2,11,0.23076923076923078
10397,14679,7,4,18,0.25
10397,14683,1,3,26,0.14285714285714285
10397,14683,2,2,29,0.0967741935483871
10397,14683,3,6,41,0.16279069767441862
10397,14683,4,10,41,0.2558139534883721
10397,14683,5,12,32,0.38235294117647056
10397,14683,6,8,27,0.3103448275862069
10397,14683,7,4,30,0.15625
10397,14730,1,4,26,0.17857142857142858
10397,14730,2,4,28,0.16666666666666666
10397,14730,3,9,28,0.3333333333333333
10397,14730,4,1,19,0.09523809523809523
10397,14730,5,7,28,0.26666666666666666
